id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21-03-2019 08:00:00,PM2.5,24,52,36,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21-03-2019 08:00:00,PM10,36,53,44,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21-03-2019 08:00:00,NO2,4,17,8,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21-03-2019 08:00:00,NH3,2,3,2,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21-03-2019 08:00:00,SO2,3,13,10,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21-03-2019 08:00:00,CO,17,32,21,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21-03-2019 08:00:00,OZONE,12,74,46,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-03-2019 08:00:00,PM2.5,19,63,40,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-03-2019 08:00:00,PM10,34,82,52,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-03-2019 08:00:00,NO2,6,28,15,NA
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-03-2019 08:00:00,NH3,2,6,3,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-03-2019 08:00:00,SO2,3,10,7,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-03-2019 08:00:00,CO,26,97,35,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-03-2019 08:00:00,OZONE,23,66,56,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",21-03-2019 08:00:00,PM2.5,16,48,32,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",21-03-2019 08:00:00,PM10,24,91,52,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",21-03-2019 08:00:00,NO2,11,117,57,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",21-03-2019 08:00:00,NH3,5,7,6,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",21-03-2019 08:00:00,SO2,3,20,7,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",21-03-2019 08:00:00,CO,6,32,18,NA
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",21-03-2019 08:00:00,OZONE,39,115,81,NA
22,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",21-03-2019 08:00:00,PM2.5,NA,NA,NA,NA
23,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",21-03-2019 08:00:00,PM10,NA,NA,NA,NA
24,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",21-03-2019 08:00:00,NO2,NA,NA,NA,NA
25,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",21-03-2019 08:00:00,NH3,NA,NA,NA,NA
26,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",21-03-2019 08:00:00,SO2,NA,NA,NA,NA
27,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-03-2019 08:00:00,PM2.5,NA,NA,NA,NA
28,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-03-2019 08:00:00,PM10,NA,NA,NA,NA
29,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-03-2019 08:00:00,NO2,NA,NA,NA,NA
30,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-03-2019 08:00:00,NH3,NA,NA,NA,NA
31,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-03-2019 08:00:00,SO2,NA,NA,NA,NA
32,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-03-2019 08:00:00,CO,24,47,32,NA
33,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-03-2019 08:00:00,OZONE,14,39,29,NA
34,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",21-03-2019 08:00:00,PM2.5,62,333,148,NA
35,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",21-03-2019 08:00:00,PM10,71,341,146,NA
36,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",21-03-2019 08:00:00,NO2,8,63,21,NA
37,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",21-03-2019 08:00:00,NH3,3,5,4,NA
38,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",21-03-2019 08:00:00,SO2,21,75,28,NA
39,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",21-03-2019 08:00:00,CO,19,108,28,NA
40,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",21-03-2019 08:00:00,OZONE,10,111,86,NA
41,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",21-03-2019 08:00:00,PM2.5,NA,NA,NA,NA
42,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",21-03-2019 08:00:00,NO2,NA,NA,NA,NA
43,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",21-03-2019 08:00:00,SO2,NA,NA,NA,NA
44,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",21-03-2019 08:00:00,CO,NA,NA,NA,NA
45,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",21-03-2019 08:00:00,OZONE,NA,NA,NA,NA
46,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",21-03-2019 08:00:00,PM2.5,95,455,303,NA
47,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",21-03-2019 08:00:00,NO2,67,121,93,NA
48,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",21-03-2019 08:00:00,SO2,10,45,24,NA
49,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",21-03-2019 08:00:00,CO,11,37,22,NA
