business_name,tags,review_text,rating,class
Aeroport Taxi & Limousine Service,"Hotels & Travel, Airport Shuttles, Transportation, Taxis, Limos, Airports","I have used this service before and was satisfied, until June 20, 2018. I prearranged via telephone a pickup from Terminal 3 to Georgetown and clearly specified a credit card would be used for payment to the driver. The car 570L arrived quickly and was clean and the drive uneventful. When it came time to pay I presented my MasterCard and that's when the problem started. The driver found he had no connection on his payment device. He tried several times to put the card throug, he even tried to put his own card through at one paint in this debacle, and each time the unit said 'no connection'. He then tried driving the car (with me in it) off my property and up and down the street in search of an internet connection, at one point he drove me to an auto repair facility up the road, stopping along the way and staying parked in the auto parking lot trying to obtain internet service. I finally asked after a very extended period to please return to my property to sort it out. It was getting dark and I was travelling alone and getting anxious. I only had a credit card in which to pay with. He proceeded to suggest that he would drive me into Georgetown to an ATM to get money. I said no to this as it would add another 20 minutes to this lengthy ordeal of being trapped in the car.i offered him a cheque which was the only other logical option. H e said no to that idea. He then proceeded to call his dispatch office and I could hear every word. They told him they could not take payments via this route as he was desperately trying to get someone to process my card payment. Then he called 'Gurdeep"", whoever that is, who told him to try charging his unit. He then spent at least 20 minutes looking over every inch of his car for his charger .....to no avail. I insisted after 45 minutes that I was leaving and going into my home and that a cheque would be the only option. He refused to leave my property. I went inside leaving him to pace around my driveway in the dark on the phone with Gurdeep. After another period of home the driver came to my door and asked me to speak to Gurdeep. I explained what was going on to Gurdeep and his impolite aggressive and rude response was that it was 'not his problem that I had no cash'.....and the problem was I lived in Halton Hills. I decided not to communicate any further with Gurdeep as he was not understanding of the situation, and of the fact that I had specified upon booking that I would be paying by credit card. The driver then told me he would call the police for non-payment, then decided after another call, and more pacing around my driveway that Gurdeep would accept my cheque. At this point I was terrified, and it was dark and I was alone. I told the driver I would have my husband (who was in another province) call the company to arrange a credit card payment. The driver still refused to leave. My husband called the company and they finally accepted his card for payment...somehow. The driver sat on the road in front of my house until the hit man Gurdeep received payment I guess. I will NEVER use this service again. It was a horrible experience. I had every intention of paying, and sincerely hope this does not happen to anyone else, especially a female travelling alone.",1,0
Aeroport Taxi & Limousine Service,"Hotels & Travel, Airport Shuttles, Transportation, Taxis, Limos, Airports","First time I tried using them the driver was nowhere to be found. Called and found out he was still 30 minutes away! I understand there is traffic, but your job is to drive. Seriously, look/listen/read the traffic reports. Yes it may have been close to rush hour, so maybe leave a bit earlier? I've never had a problem getting to/from places outside the city on time, so I have a hard time understanding why someone who's job it is to do the same thing can't show up on time. Thought I'd give them another shot as maybe it was just a lazy/poor/uncaring driver. This time, 15 minutes before my pickup time, the driver cancels and I'm told they're finding me another vehicle. How long will that take? Don't know. Great. So I've got 15 minutes to either hail an Uber, or wait for someone to maybe show up. No problem. Should have just used Uber in the first place. In summary, if they happen to be sitting right out front and you can get a reasonable flat rate, fair enough. In any other case, use Uber/Lyft/anything else, or risk being told at the last minute that for whatever reason your car isn't showing up....",1,0
Aeroport Taxi & Limousine Service,"Hotels & Travel, Airport Shuttles, Transportation, Taxis, Limos, Airports","Driver picked me up on time at 6AM and even knocked on my door instead of ringing my doorbell, in case people were still sleeping. Was courteous and polite the entire ride. Car was in good shape and didn't smell of smoke. Will definitely use them again!",5,1
Aeroport Taxi & Limousine Service,"Hotels & Travel, Airport Shuttles, Transportation, Taxis, Limos, Airports",First time using this taxi and limo company as I have used others. I was very happy with the services provided. I like the online booking and email confirmation with a reference number. I called the day I needed the limo service and the driver arrived a few minutes a head of time.,5,1
Aeroport Taxi & Limousine Service,"Hotels & Travel, Airport Shuttles, Transportation, Taxis, Limos, Airports",Great experience. Driver was early and was very friendly. Got me there early and was a smooth driver. Car was clean and well maintained.,5,1
Aeroport Taxi & Limousine Service,"Hotels & Travel, Airport Shuttles, Transportation, Taxis, Limos, Airports","Ive used Aeroport a few times now and i highly recommend it. Always on time, courteous staff and driver, easy to use mobile app and reasonable rates. Keep up the great service.",5,1
Aeroport Taxi & Limousine Service,"Hotels & Travel, Airport Shuttles, Transportation, Taxis, Limos, Airports",Got of the plane walked out of the airport the cab was waiting for us. Walked up he brought a van so we could put luggage in. Great space good guy to talk too. Reasonable price. Would recommend,5,1
Aeroport Taxi & Limousine Service,"Hotels & Travel, Airport Shuttles, Transportation, Taxis, Limos, Airports","Can't fault the service. Arrives on time every time. Have used them about a dozen times now and have no complaints at all. Helpful drivers, good rates, clean cars. Highly recommended.",5,1
Aeroport Taxi & Limousine Service,"Hotels & Travel, Airport Shuttles, Transportation, Taxis, Limos, Airports",Limousine was on time. Driver was very helpful and courteous. Vehicle was very clean. Would definitely use it again. Highly recommended,5,1
Aeroport Taxi & Limousine Service,"Hotels & Travel, Airport Shuttles, Transportation, Taxis, Limos, Airports","Made my reservation online. Was picked up on time, driver was courteous, helped with luggage. Flat rate to YYZ from downtown Toronto is $48. Will use them again when I come back for a visit in Toronto.",5,1
